what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401899169746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401899171713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401902727634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401902730127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401903352010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401903354607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401903874945
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401903880047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401903897390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401903924275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401903925816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401910899858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401910901631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401910911303
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1401910911958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401910915381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911299961
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401911303733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911309564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911410736
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1401911420396
started,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1401911420401
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1401911421152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911421657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911436236
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1401911451076
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1401911451327
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1401911451361
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1401911451460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911451741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911464764
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1401911465165
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1401911465584
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1401911465949
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1401911465954
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1401911471216
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1401911471260
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1401911471307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1401911471368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911474942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911481431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401911483256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911490131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911630059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401911631374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401911682082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401911694652
