10.1.18.136 - - [18/Jul/2018:12:00:39 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:32:51 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 64265
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:06 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62668
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:07 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:07 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 24670
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:12 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 9256
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:17 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:18 -0500] "GET /joappWeb/home/dashTema.xhtml HTTP/1.1" 200 69398
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:22 -0500] "GET /joappWeb/index.xhtml HTTP/1.1" 200 62668
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:23 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:23 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 24670
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:25 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 7680
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:29 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 9256
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:35 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:35 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 24670
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:37 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 9256
0:0:0:0:0:0:0:1 - - [18/Jul/2018:16:37:38 -0500] "POST /joappWeb/index.xhtml HTTP/1.1" 200 144
